iteration,cost,residual_norm,grad_norm,step_norm,damping,mean_cam_error,median_cam_error,max_cam_error,mean_pt_error,median_pt_error,max_pt_error
15,15080988.318549264,5491.992046343343,,,,7.972493760439915,6.081668006584627,33.12478152487489,7.612867496507455,5.262859962807178,76.82051599610548
16,15080986.324847292,5491.991683323508,,,,7.972494306986393,6.081666635784451,33.12476482085686,7.6128675715746095,5.26285649102469,76.82050462808952
17,15080989.538661394,5491.9922685053725,,,,7.972494213986059,6.081668173376614,33.124778794970894,7.61286773193447,5.262859875287134,76.82051599610548
18,15080989.395131202,5491.992242370925,,,,7.972494525440795,6.081667783784074,33.124778794970894,7.612868146195969,5.262860987892018,76.82051599610548
19,15080988.827475265,5491.992139010264,,,,7.9724940997294915,6.081664646852258,33.124778794970894,7.6128684242460665,5.26286075277178,76.82051789433775
20,15080989.077659713,5491.992184564671,,,,7.972493957495201,6.0816607501852085,33.124778794970894,7.612868005994826,5.262864146683461,76.82052174009043
21,15080988.132071521,5491.9920123888605,,,,7.972493853744441,6.081668016194401,33.124778794970894,7.612867405975474,5.262859962807178,76.82051599610548
22,15080988.07956133,5491.992002827631,,,,7.97249437344213,6.081667932071917,33.124778794970894,7.612868334237092,5.262860756316174,76.8205054538964
23,15080988.3272579,5491.992047929039,,,,7.972493984494136,6.081667932071917,33.124778794970894,7.61286756549476,5.262859962807178,76.82051599610548
24,15080988.106978398,5491.992007819822,,,,7.972493775836713,6.081667932071917,33.124778794970894,7.612867290202788,5.2628599593296785,76.82051599610548
25,3.0178126324692377e+68,2.4567509570443796e+34,,,,5.4161176312465804e+28,7004914102.237039,6.824308214012165e+30,2.0454004688345793e+29,566.639133058071,8.189169856814599e+33
26,3.4010668314754557e+46,2.6080900411893206e+23,,,,5.355153542886646e+18,171480.09943117204,6.647718308741491e+20,3.529720963708622e+18,111.34655602079987,1.2996287841600692e+23
27,8.686902567447005e+33,1.3180973080502824e+17,,,,1234640862158.3875,395.4580904179701,79170424709726.45,2621094375483.9326,97.3645312633738,3.2464184477093924e+16
28,7.268103271879363e+42,3.812637740955561e+21,,,,1.1531195249895108e+16,131.26078846854088,1.4517284550674227e+18,4.7878518969251096e+16,84.47698724195357,1.9062986665574038e+21
29,2.1149013828810404e+43,6.50369338588627e+21,,,,2.085519766223407e+16,18.575391073532565,2.627754903388392e+18,8.122103790432162e+16,20.030224458627163,3.2518466932129876e+21
30,1854412264.1450245,60900.11927976867,,,,37.97783075476845,5.248779333755437,784.0997478473903,35.50760237863925,4.313315567186161,6927.2485358330805
31,94144225.71745136,13721.823910650608,,,,10.408928046303942,4.057687318722927,218.98685456919875,8.939834834187813,3.214113268678309,667.2884090255176
32,7663242.007799553,3914.905364833114,,,,6.303105216808358,5.666719596682947,35.27095293861541,5.658771650265958,4.541692787597308,193.58798010725417
33,7663243.09929584,3914.905643638385,,,,6.3031060939949475,5.666720905195932,35.2709519418276,5.6587730357339785,4.541711828134032,193.5879962007764
34,7663243.275580517,3914.905688667485,,,,6.303105859762813,5.666719864953352,35.27095199227387,5.658773178189275,4.541692199383268,193.58796648627424
35,7663242.818556762,3914.9055719280796,,,,6.303105895397975,5.6667203796094885,35.27095453553649,5.65877280657833,4.541689444694411,193.58797388980284
36,7663242.558657513,3914.905505540973,,,,6.30310556244673,5.66673386011893,35.27095363127695,5.658771859963654,4.54168413607229,193.58797136297113
37,7663243.233511504,3914.905677921629,,,,6.303105859547188,5.666719507445876,35.27095307434869,5.658772207485665,4.541696970217107,193.58798010725417
38,7663242.418939739,3914.905469852303,,,,6.303105122583508,5.66672107862593,35.27095119793045,5.658771637877315,4.541692787597308,193.58798589955074
39,7663242.613461239,3914.905519539709,,,,6.303105222182863,5.666719434693977,35.270957026825464,5.6587716821307135,4.5416953854668884,193.58798010725417
40,7663246.013386445,3914.906387996128,,,,6.303108240898924,5.6667256237307875,35.27095667962133,5.658774249222852,4.541705494886948,193.58797123964004
41,7663242.180559446,3914.905408961868,,,,6.303105419952607,5.666713412100659,35.270936579320335,5.658772100311207,4.541692787597308,193.58798010725417
42,7663244.519305886,3914.9060063572115,,,,6.303106757376112,5.666711284579172,35.27095615806372,5.658772928486568,4.541692906690882,193.5879851452663
